Title,Original Title,Other Titles,Rating,Rating People
233,黑客帝国2：重装上阵,The Matrix Reloaded,"22世纪杀人网络2：决战未来(港), 骇客任务：重装上阵(台)",8.7,438444
234,火星救援,The Martian,"火星任务(港), 绝地救援(台)",8.5,799363
235,萤火虫之墓,火垂るの墓,"再见萤火虫(港), 萤火挽歌",8.7,427780
236,奇迹男孩,Wonder,奇迹,8.6,584689
237,战争之王,Lord of War,"军火之王(台, 港) ",8.7,400286
238,千年女优,千年女優,Millennium Actress,8.8,302502
239,步履不停,歩いても 歩いても,"横山家之味(港, 台) ",8.8,308457
240,血钻,Blood Diamond,"血钻石(台), 血腥钻石",8.7,408675
241,谍影重重2,The Bourne Supremacy,"叛谍追击2：机密圈套(港), 神鬼认证：神鬼疑云(台)",8.7,382822
242,蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,"蜘蛛侠：新纪元, 蜘蛛人：新宇宙(台)",8.6,728952
243,魂断蓝桥,Waterloo Bridge,"滑铁卢桥, 断桥残梦",8.8,300072
244,房间,Room,"不存在的房间(台), 抖室(港)",8.8,390300
245,机器人之梦,Robot Dreams,"再见机器人(台), 汪汪梦里人(港)",9.0,328508
246,冰雪奇缘,Frozen,"魔雪奇缘(港), 冰雪大冒险",8.5,771851
247,隐藏人物,Hidden Figures,"NASA无名英雌(港), 关键少数(台)",8.9,252954
248,谍影重重,The Bourne Identity,"叛谍追击(港), 神鬼认证(台)",8.6,466335
249,弱点,The Blind Side,"守护有心人(港), 攻其不备(台)",8.7,343035
250,哪吒之魔童降世,N/A,"哪吒降世, Ne Zha",8.4,2013581
